file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method005/1[helpers.Context],false,474,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,12,14,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method009/1[helpers.Context],false,839,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,36,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method000/1[helpers.Context],false,21,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,12,14,0,2,0,0,0,36,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method003/1[helpers.Context],false,293,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,12,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method004/1[helpers.Context],false,383,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,11,14,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method007/1[helpers.Context],false,655,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method001/1[helpers.Context],false,112,5,13,23,61,4,11,1,23,0,0,0,0,1,2,8,11,14,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method008/1[helpers.Context],false,747,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,15,16,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method006/1[helpers.Context],false,565,5,13,23,60,4,11,1,23,0,0,0,0,1,2,11,10,14,0,2,0,0,0,38,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\abnhh\otghm\wvkjx\yxpnk\nsnkz\Class001600.java,generated.abnhh.otghm.wvkjx.yxpnk.nsnkz.Class001600,method002/1[helpers.Context],false,203,5,13,23,60,4,11,1,23,0,0,0,0,1,2,11,10,14,0,2,0,0,0,38,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\addzw\espmo\awuxq\hucab\nqwdq\Class001588.java,generated.addzw.espmo.awuxq.hucab.nqwdq.Class001588,method009/1[helpers.Context],false,855,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,11,14,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\addzw\espmo\awuxq\hucab\nqwdq\Class001588.java,generated.addzw.espmo.awuxq.hucab.nqwdq.Class001588,method003/1[helpers.Context],false,299,5,13,23,63,4,13,1,23,0,0,0,0,1,2,13,11,16,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\addzw\espmo\awuxq\hucab\nqwdq\Class001588.java,generated.addzw.espmo.awuxq.hucab.nqwdq.Class001588,method000/1[helpers.Context],false,21,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,12,14,0,2,0,0,0,37,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\addzw\espmo\awuxq\hucab\nqwdq\Class001588.java,generated.addzw.espmo.awuxq.hucab.nqwdq.Class00
